"Id";"variable";"value"
"marcinko";"Telesna vychova (Bc)";1
"Lenochod";"Telesna vychova (Bc)";1
"yoshi";"Telesna vychova (Bc)";1
"kufrik";"Telesna vychova (Bc)";1
"Bronco";"Telesna vychova (Bc)";1
"Pospa";"Dejiny vedy a techniky (Bc)";1
"brajenisek";"Dejiny vedy a techniky (Bc)";1
"El Daniel";"Dejiny vedy a techniky (Bc)";1
"Fox";"Dejiny vedy a techniky (Bc)";1
"DemoX";"Dejiny vedy a techniky (Bc)";1
"keafe";"Dejiny vedy a techniky (Bc)";1
"Lenochod";"Dejiny vedy a techniky (Bc)";1
"kufrik";"Dejiny vedy a techniky (Bc)";1
"Mystik51";"Politologie (Bc)";1
"JakubCH";"Psychologie (Bc)";1
"Letajici spagetove monstrum";"Psychologie (Bc)";1
"Rudolph";"Psychologie (Bc)";1
"Jacobs";"Psychologie (Bc)";1
"Tess";"Psychologie (Bc)";1
"leebro123";"Psychologie (Bc)";1
"lf OSU";"Psychologie (Bc)";1
"Lenochod";"Psychologie (Bc)";1
"random VSB student";"Psychologie (Bc)";1
"DemoX";"Sociologie (Bc)";1
"Dinn";"Sociologie (Bc)";1
"marcinko";"Sociologie (Bc)";1
"Pospa";"Jazyk anglicky (Bc)";1
"ebola";"Jazyk anglicky (Bc)";1
"El Daniel";"Jazyk anglicky (Bc)";1
"Rudolph";"Jazyk anglicky (Bc)";1
"Vojta K.";"Jazyk anglicky (Bc)";1
"leebro123";"Jazyk anglicky (Bc)";1
"Mystik51";"Jazyk anglicky (Bc)";1
"Tomio";"Jazyk anglicky (Bc)";1
"Lenochod";"Jazyk anglicky (Bc)";1
"lf OSU";"Matematika pro zpracovani znalosti (Mgr)";1
"Mystik51";"Matematika pro zpracovani znalosti (Mgr)";1
"JakubCH";"Teoreticka informatika (Mgr)";1
"ebola";"Teoreticka informatika (Mgr)";1
"Letajici spagetove monstrum";"Teoreticka informatika (Mgr)";1
"Tess";"Teoreticka informatika (Mgr)";1
"Pat0072";"Teoreticka informatika (Mgr)";1
"Mystik51";"Teoreticka informatika (Mgr)";1
"Lenochod";"Teoreticka informatika (Mgr)";1
"random VSB student";"Teoreticka informatika (Mgr)";1
"Tomio";"Databazove a informacni systemy II (Mgr)";1
"Lenochod";"Databazove a informacni systemy II (Mgr)";1
"Lachtan";"Databazove a informacni systemy II (Mgr)";1
"Letajici spagetove monstrum";"Digitalni zpracovani obrazu (Mgr)";1
"Pospa";"Metody analyzy dat I (Mgr)";1
"brajenisek";"Metody analyzy dat I (Mgr)";1
"JakubCH";"Metody analyzy dat I (Mgr)";1
"El Daniel";"Metody analyzy dat I (Mgr)";1
"Fox";"Metody analyzy dat I (Mgr)";1
"Tess";"Metody analyzy dat I (Mgr)";1
"Pat0072";"Metody analyzy dat I (Mgr)";1
"leebro123";"Metody analyzy dat I (Mgr)";1
"keafe";"Metody analyzy dat I (Mgr)";1
"lf OSU";"Metody analyzy dat I (Mgr)";1
"JamesBond";"Metody analyzy dat I (Mgr)";1
"marcinko";"Metody analyzy dat I (Mgr)";1
"omar";"Metody analyzy dat I (Mgr)";1
"Lenochod";"Metody analyzy dat I (Mgr)";1
"Lachtan";"Metody analyzy dat I (Mgr)";1
"random VSB student";"Metody analyzy dat I (Mgr)";1
"Pat0072";"Paradigmata programovani (Mgr)";1
"keafe";"Paradigmata programovani (Mgr)";1
"Lenochod";"Paradigmata programovani (Mgr)";1
"Mystik51";"Pocitacova grafika I (Mgr)";1
"marcinko";"Pocitacova grafika I (Mgr)";1
"Rudolph";"Pocitacove systemy (Mgr)";1
"Alex";"Pocitacove systemy (Mgr)";1
"DemoX";"Pocitacove systemy (Mgr)";1
"Mystik51";"Pocitacove systemy (Mgr)";1
"Mystik51";"Smerovane a prepinane site (Mgr)";1
"yoshi";"Smerovane a prepinane site (Mgr)";1
"Bronco";"Smerovane a prepinane site (Mgr)";1
"Pospa";"Biologicky inspirovane algoritmy (Mgr)";1
"Letajici spagetove monstrum";"Biologicky inspirovane algoritmy (Mgr)";1
"El Daniel";"Biologicky inspirovane algoritmy (Mgr)";1
"Fox";"Biologicky inspirovane algoritmy (Mgr)";1
"Tess";"Biologicky inspirovane algoritmy (Mgr)";1
"lf OSU";"Biologicky inspirovane algoritmy (Mgr)";1
"JamesBond";"Biologicky inspirovane algoritmy (Mgr)";1
"Mystik51";"Biologicky inspirovane algoritmy (Mgr)";1
"Dinn";"Biologicky inspirovane algoritmy (Mgr)";1
"yoshi";"Biologicky inspirovane algoritmy (Mgr)";1
"random VSB student";"Biologicky inspirovane algoritmy (Mgr)";1
"Pospa";"Paralelni algoritmy I (Mgr)";1
"brajenisek";"Paralelni algoritmy I (Mgr)";1
"JakubCH";"Paralelni algoritmy I (Mgr)";1
"ebola";"Paralelni algoritmy I (Mgr)";1
"El Daniel";"Paralelni algoritmy I (Mgr)";1
"Vojta K.";"Paralelni algoritmy I (Mgr)";1
"Tess";"Paralelni algoritmy I (Mgr)";1
"leebro123";"Paralelni algoritmy I (Mgr)";1
"lf OSU";"Paralelni algoritmy I (Mgr)";1
"JamesBond";"Paralelni algoritmy I (Mgr)";1
"Mystik51";"Paralelni algoritmy I (Mgr)";1
"marcinko";"Paralelni algoritmy I (Mgr)";1
"Lenochod";"Paralelni algoritmy I (Mgr)";1
"random VSB student";"Paralelni algoritmy I (Mgr)";1
