"Id";"variable";"value"
"Tomio";"Telesna vychova (Ss)";1
"Lenochod";"Telesna vychova (Ss)";1
"yoshi";"Telesna vychova (Ss)";1
"kufrik";"Telesna vychova (Ss)";1
"Bronco";"Telesna vychova (Ss)";1
"«?»";"Algoritmy I (Bc)";1
"JakubCH";"Algoritmy I (Bc)";1
"ebola";"Algoritmy I (Bc)";1
"Letajici spagetove monstrum";"Algoritmy I (Bc)";1
"El Daniel";"Algoritmy I (Bc)";1
"Rudolph";"Algoritmy I (Bc)";1
"Vojta K.";"Algoritmy I (Bc)";1
"Alex";"Algoritmy I (Bc)";1
"Jacobs";"Algoritmy I (Bc)";1
"Tess";"Algoritmy I (Bc)";1
"Pat0072";"Algoritmy I (Bc)";1
"leebro123";"Algoritmy I (Bc)";1
"DemoX";"Algoritmy I (Bc)";1
"keafe";"Algoritmy I (Bc)";1
"lf OSU";"Algoritmy I (Bc)";1
"JamesBond";"Algoritmy I (Bc)";1
"Mystik51";"Algoritmy I (Bc)";1
"marcinko";"Algoritmy I (Bc)";1
"Lenochod";"Algoritmy I (Bc)";1
"yoshi";"Algoritmy I (Bc)";1
"kufrik";"Algoritmy I (Bc)";1
"random VSB student";"Algoritmy I (Bc)";1
"brajenisek";"Matematicka analyza 1 (Bc)";1
"ebola";"Matematicka analyza 1 (Bc)";1
"Fox";"Matematicka analyza 1 (Bc)";1
"Tess";"Matematicka analyza 1 (Bc)";1
"lf OSU";"Matematicka analyza 1 (Bc)";1
"Mystik51";"Matematicka analyza 1 (Bc)";1
"omar";"Matematicka analyza 1 (Bc)";1
"Bronco";"Matematicka analyza 1 (Bc)";1
"random VSB student";"Matematicka analyza 1 (Bc)";1
"Rudolph";"uvod do komunikacnich technologii (Bc)";1
"Fox";"uvod do komunikacnich technologii (Bc)";1
"Alex";"uvod do komunikacnich technologii (Bc)";1
"Pat0072";"uvod do komunikacnich technologii (Bc)";1
"DemoX";"uvod do komunikacnich technologii (Bc)";1
"Mystik51";"uvod do komunikacnich technologii (Bc)";1
"Dinn";"uvod do komunikacnich technologii (Bc)";1
"Lenochod";"uvod do komunikacnich technologii (Bc)";1
"Bronco";"uvod do komunikacnich technologii (Bc)";1
"brajenisek";"Zaklady elektroniky (Bc)";1
"«?»";"Algoritmy II (Bc)";1
"JakubCH";"Algoritmy II (Bc)";1
"ebola";"Algoritmy II (Bc)";1
"Letajici spagetove monstrum";"Algoritmy II (Bc)";1
"Rudolph";"Algoritmy II (Bc)";1
"Vojta K.";"Algoritmy II (Bc)";1
"Tess";"Algoritmy II (Bc)";1
"Pat0072";"Algoritmy II (Bc)";1
"leebro123";"Algoritmy II (Bc)";1
"keafe";"Algoritmy II (Bc)";1
"lf OSU";"Algoritmy II (Bc)";1
"JamesBond";"Algoritmy II (Bc)";1
"Mystik51";"Algoritmy II (Bc)";1
"marcinko";"Algoritmy II (Bc)";1
"Lenochod";"Algoritmy II (Bc)";1
"Lachtan";"Algoritmy II (Bc)";1
"kufrik";"Algoritmy II (Bc)";1
"random VSB student";"Algoritmy II (Bc)";1
"Pospa";"Linearni algebra (Bc)";1
"brajenisek";"Linearni algebra (Bc)";1
"ebola";"Linearni algebra (Bc)";1
"Rudolph";"Linearni algebra (Bc)";1
"Fox";"Linearni algebra (Bc)";1
"Tess";"Linearni algebra (Bc)";1
"Pat0072";"Linearni algebra (Bc)";1
"leebro123";"Linearni algebra (Bc)";1
"DemoX";"Linearni algebra (Bc)";1
"lf OSU";"Linearni algebra (Bc)";1
"Mystik51";"Linearni algebra (Bc)";1
"Bronco";"Linearni algebra (Bc)";1
"Pospa";"Matematicka analyza 2 (Bc)";1
"ebola";"Matematicka analyza 2 (Bc)";1
"Fox";"Matematicka analyza 2 (Bc)";1
"Tess";"Matematicka analyza 2 (Bc)";1
"lf OSU";"Matematicka analyza 2 (Bc)";1
"Mystik51";"Matematicka analyza 2 (Bc)";1
"Bronco";"Matematicka analyza 2 (Bc)";1
"Pospa";"Programovani I (Bc)";1
"brajenisek";"Programovani I (Bc)";1
"JakubCH";"Programovani I (Bc)";1
"ebola";"Programovani I (Bc)";1
"Letajici spagetove monstrum";"Programovani I (Bc)";1
"El Daniel";"Programovani I (Bc)";1
"Rudolph";"Programovani I (Bc)";1
"Vojta K.";"Programovani I (Bc)";1
"Fox";"Programovani I (Bc)";1
"Alex";"Programovani I (Bc)";1
"Jacobs";"Programovani I (Bc)";1
"Tess";"Programovani I (Bc)";1
"leebro123";"Programovani I (Bc)";1
"DemoX";"Programovani I (Bc)";1
"keafe";"Programovani I (Bc)";1
"lf OSU";"Programovani I (Bc)";1
"JamesBond";"Programovani I (Bc)";1
"Mystik51";"Programovani I (Bc)";1
"marcinko";"Programovani I (Bc)";1
"omar";"Programovani I (Bc)";1
"Lenochod";"Programovani I (Bc)";1
"yoshi";"Programovani I (Bc)";1
"kufrik";"Programovani I (Bc)";1
"random VSB student";"Programovani I (Bc)";1
"brajenisek";"Programovani 2 (Bc)";1
"JakubCH";"Programovani 2 (Bc)";1
"ebola";"Programovani 2 (Bc)";1
"Letajici spagetove monstrum";"Programovani 2 (Bc)";1
"El Daniel";"Programovani 2 (Bc)";1
"Rudolph";"Programovani 2 (Bc)";1
"Vojta K.";"Programovani 2 (Bc)";1
"Alex";"Programovani 2 (Bc)";1
"Jacobs";"Programovani 2 (Bc)";1
"Tess";"Programovani 2 (Bc)";1
"Pat0072";"Programovani 2 (Bc)";1
"leebro123";"Programovani 2 (Bc)";1
"DemoX";"Programovani 2 (Bc)";1
"keafe";"Programovani 2 (Bc)";1
"lf OSU";"Programovani 2 (Bc)";1
"JamesBond";"Programovani 2 (Bc)";1
"Mystik51";"Programovani 2 (Bc)";1
"marcinko";"Programovani 2 (Bc)";1
"omar";"Programovani 2 (Bc)";1
"Lenochod";"Programovani 2 (Bc)";1
"yoshi";"Programovani 2 (Bc)";1
"kufrik";"Programovani 2 (Bc)";1
"Bronco";"Programovani 2 (Bc)";1
"random VSB student";"Programovani 2 (Bc)";1
"ebola";"uvod do programovani (Bc)";1
"Letajici spagetove monstrum";"uvod do programovani (Bc)";1
"Rudolph";"uvod do programovani (Bc)";1
"Vojta K.";"uvod do programovani (Bc)";1
"Alex";"uvod do programovani (Bc)";1
"Jacobs";"uvod do programovani (Bc)";1
"leebro123";"uvod do programovani (Bc)";1
"keafe";"uvod do programovani (Bc)";1
"Mystik51";"uvod do programovani (Bc)";1
"brajenisek";"Diskretni matematika (Bc)";1
"ebola";"Diskretni matematika (Bc)";1
"Letajici spagetove monstrum";"Diskretni matematika (Bc)";1
"Fox";"Diskretni matematika (Bc)";1
"Tess";"Diskretni matematika (Bc)";1
"leebro123";"Diskretni matematika (Bc)";1
"keafe";"Diskretni matematika (Bc)";1
"lf OSU";"Diskretni matematika (Bc)";1
"Mystik51";"Diskretni matematika (Bc)";1
"Bronco";"Diskretni matematika (Bc)";1
"Alex";"Komunikacni site I (Bc)";1
"Mystik51";"Komunikacni site I (Bc)";1
"sesler";"Architektury pocitacu a paralelnich systemu (Bc)";1
"keafe";"Architektury pocitacu a paralelnich systemu (Bc)";1
"lf OSU";"Architektury pocitacu a paralelnich systemu (Bc)";1
"marcinko";"Architektury pocitacu a paralelnich systemu (Bc)";1
"Tomio";"Architektury pocitacu a paralelnich systemu (Bc)";1
"brajenisek";"Telekomunikacni site (Bc)";1
"Mystik51";"Telekomunikacni site (Bc)";1
"«?»";"uvod do teoreticke informatiky (Bc)";1
"JakubCH";"uvod do teoreticke informatiky (Bc)";1
"ebola";"uvod do teoreticke informatiky (Bc)";1
"El Daniel";"uvod do teoreticke informatiky (Bc)";1
"Tess";"uvod do teoreticke informatiky (Bc)";1
"Pat0072";"uvod do teoreticke informatiky (Bc)";1
"leebro123";"uvod do teoreticke informatiky (Bc)";1
"lf OSU";"uvod do teoreticke informatiky (Bc)";1
"Mystik51";"uvod do teoreticke informatiky (Bc)";1
"kufrik";"uvod do teoreticke informatiky (Bc)";1
"random VSB student";"uvod do teoreticke informatiky (Bc)";1
"brajenisek";"Databazove a informacni systemy (Bc)";1
"JakubCH";"Databazove a informacni systemy (Bc)";1
"Rudolph";"Databazove a informacni systemy (Bc)";1
"Vojta K.";"Databazove a informacni systemy (Bc)";1
"Tess";"Databazove a informacni systemy (Bc)";1
"leebro123";"Databazove a informacni systemy (Bc)";1
"keafe";"Databazove a informacni systemy (Bc)";1
"lf OSU";"Databazove a informacni systemy (Bc)";1
"JamesBond";"Databazove a informacni systemy (Bc)";1
"marcinko";"Databazove a informacni systemy (Bc)";1
"omar";"Databazove a informacni systemy (Bc)";1
"Tomio";"Databazove a informacni systemy (Bc)";1
"Lenochod";"Databazove a informacni systemy (Bc)";1
"yoshi";"Databazove a informacni systemy (Bc)";1
"Lachtan";"Databazove a informacni systemy (Bc)";1
"Pospa";"uvod do softwaroveho inzenyrstvi (Bc)";1
"brajenisek";"uvod do softwaroveho inzenyrstvi (Bc)";1
"JakubCH";"uvod do softwaroveho inzenyrstvi (Bc)";1
"Rudolph";"uvod do softwaroveho inzenyrstvi (Bc)";1
"Tess";"uvod do softwaroveho inzenyrstvi (Bc)";1
"leebro123";"uvod do softwaroveho inzenyrstvi (Bc)";1
"lf OSU";"uvod do softwaroveho inzenyrstvi (Bc)";1
"JamesBond";"uvod do softwaroveho inzenyrstvi (Bc)";1
"Dinn";"uvod do softwaroveho inzenyrstvi (Bc)";1
"marcinko";"uvod do softwaroveho inzenyrstvi (Bc)";1
"omar";"uvod do softwaroveho inzenyrstvi (Bc)";1
"Tomio";"uvod do softwaroveho inzenyrstvi (Bc)";1
"kufrik";"uvod do softwaroveho inzenyrstvi (Bc)";1
"random VSB student";"uvod do softwaroveho inzenyrstvi (Bc)";1
"Rudolph";"Operacni systemy (Bc)";1
"Alex";"Operacni systemy (Bc)";1
"brajenisek";"Programovaci jazyky I, Java (Bc)";1
"JakubCH";"Programovaci jazyky I, Java (Bc)";1
"ebola";"Programovaci jazyky I, Java (Bc)";1
"Letajici spagetove monstrum";"Programovaci jazyky I, Java (Bc)";1
"El Daniel";"Programovaci jazyky I, Java (Bc)";1
"Rudolph";"Programovaci jazyky I, Java (Bc)";1
"Alex";"Programovaci jazyky I, Java (Bc)";1
"leebro123";"Programovaci jazyky I, Java (Bc)";1
"keafe";"Programovaci jazyky I, Java (Bc)";1
"lf OSU";"Programovaci jazyky I, Java (Bc)";1
"JamesBond";"Programovaci jazyky I, Java (Bc)";1
"Mystik51";"Programovaci jazyky I, Java (Bc)";1
