"The Perfect Storm ";"Confessions of a Dangerous Mind ";1
"The Perfect Storm ";"Syriana";1
"The Perfect Storm ";"Three Kings ";1
"The Perfect Storm ";"Ocean's Thirteen";1
"The Perfect Storm ";"Out of Sight ";1
"The Perfect Storm ";"Ocean's Twelve";1
"The Perfect Storm ";"Ocean's Eleven ";1
"The Perfect Storm ";"Intolerable Cruelty";1
"The Perfect Storm";"Three Kings ";1
"The Perfect Storm";"The Departed";1
"The Perfect Storm";"The Italian Job";1
"America's Sweethearts";"Confessions of a Dangerous Mind";1
"America's Sweethearts";"Everyone Says I Love You";1
"America's Sweethearts";"The Mexican ";1
"America's Sweethearts";"Full Frontal ";1
"America's Sweethearts";"Chicago ";1
"America's Sweethearts";"Ocean's Twelve";2
"America's Sweethearts";"Stepmom ";1
"America's Sweethearts";"Ocean's Eleven ";1
"America's Sweethearts";"Runaway Bride";1
"America's Sweethearts";"Pretty Woman ";1
"America's Sweethearts";"Intolerable Cruelty";1
"Rounders";"Everyone Says I Love You ";1
"Rounders";"Fight Club";1
"Rounders";"The Italian Job";1
"Rounders ";"Confessions of a Dangerous Mind";1
"Rounders ";"Syriana";1
"Rounders ";"Ocean's Thirteen ";1
"Rounders ";"Ocean's Twelve";1
"Rounders ";"The Departed";1
"Rounders ";"Ocean's Eleven ";1
"Rounders ";"Jersey Girl ";1
"Confessions of a Dangerous Mind ";"The Mexican";1
"Confessions of a Dangerous Mind ";"Fight Club";1
"Confessions of a Dangerous Mind ";"Syriana";1
"Confessions of a Dangerous Mind ";"Three Kings ";1
"Confessions of a Dangerous Mind ";"Ocean's Thirteen ";1
"Confessions of a Dangerous Mind ";"Ocean's Thirteen";1
"Confessions of a Dangerous Mind ";"Out of Sight ";1
"Confessions of a Dangerous Mind ";"Full Frontal ";1
"Confessions of a Dangerous Mind ";"Ocean's Twelve";2
"Confessions of a Dangerous Mind ";"Thelma & Louise";1
"Confessions of a Dangerous Mind ";"Ocean's Eleven ";2
"Confessions of a Dangerous Mind ";"Intolerable Cruelty";1
"Confessions of a Dangerous Mind";"Everyone Says I Love You";1
"Confessions of a Dangerous Mind";"The Mexican ";1
"Confessions of a Dangerous Mind";"Syriana";1
"Confessions of a Dangerous Mind";"Ocean's Thirteen ";1
"Confessions of a Dangerous Mind";"Full Frontal ";1
"Confessions of a Dangerous Mind";"Ocean's Twelve";2
"Confessions of a Dangerous Mind";"The Departed";1
"Confessions of a Dangerous Mind";"Stepmom ";1
"Confessions of a Dangerous Mind";"Ocean's Eleven ";2
"Confessions of a Dangerous Mind";"Runaway Bride";1
